INFORMATICA
Nombre completo        RUT      Puntaje de postulacion     Expectativa de sueldo
Juanino Perezinho | 9876543-2 |           88           |          500000
Sofia Ortega | 6748594-2 |           100           |          3700000
Patricio Castillo | 14465845-1 |           69           |          3400000
Benjamin Barraza | 8766987-2 |           90           |          1300000
FINANZAS
Nombre completo        RUT      Puntaje de postulacion     Expectativa de sueldo
Catalina Herrera | 8234456-6 |           12           |          4000000
MARKETING
Nombre completo        RUT      Puntaje de postulacion     Expectativa de sueldo
Benjamin Barraza | 11475895-2 |           40           |          1300000
